"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-05-12,"GM","Germany",3304647.7871603,"point",NA,"58 day ahead cum case"
2021-03-15,2021-05-13,"GM","Germany",3315377.8167281,"point",NA,"59 day ahead cum case"
2021-03-15,2021-05-14,"GM","Germany",3326033.46135626,"point",NA,"60 day ahead cum case"
2021-03-15,2021-05-15,"GM","Germany",3336615.14037234,"point",NA,"61 day ahead cum case"
2021-03-15,2021-05-16,"GM","Germany",3347123.28356505,"point",NA,"62 day ahead cum case"
2021-03-15,2021-05-17,"GM","Germany",3357558.32997745,"point",NA,"63 day ahead cum case"
2021-03-15,2021-05-18,"GM","Germany",3367920.72681497,"point",NA,"64 day ahead cum case"
2021-03-15,2021-05-19,"GM","Germany",3378217.14339769,"point",NA,"65 day ahead cum case"
2021-03-15,2021-05-20,"GM","Germany",3388460.42804017,"point",NA,"66 day ahead cum case"
2021-03-15,2021-05-21,"GM","Germany",3398631.65128079,"point",NA,"67 day ahead cum case"
2021-03-15,2021-05-22,"GM","Germany",3408731.24412538,"point",NA,"68 day ahead cum case"
2021-03-15,2021-05-23,"GM","Germany",3418759.64490193,"point",NA,"69 day ahead cum case"
2021-03-15,2021-05-24,"GM","Germany",3428717.29869352,"point",NA,"70 day ahead cum case"
2021-03-15,2021-05-25,"GM","Germany",3438604.65651506,"point",NA,"71 day ahead cum case"
2021-03-15,2021-05-26,"GM","Germany",3448422.12975946,"point",NA,"72 day ahead cum case"
2021-03-15,2021-05-27,"GM","Germany",3458170.13395076,"point",NA,"73 day ahead cum case"
2021-03-15,2021-05-28,"GM","Germany",3467849.11407024,"point",NA,"74 day ahead cum case"
2021-03-15,2021-05-29,"GM","Germany",3477459.51716155,"point",NA,"75 day ahead cum case"
2021-03-15,2021-05-30,"GM","Germany",3487001.79201942,"point",NA,"76 day ahead cum case"
2021-03-15,2021-05-31,"GM","Germany",3496476.38890808,"point",NA,"77 day ahead cum case"
2021-03-15,2021-06-01,"GM","Germany",3505883.75930639,"point",NA,"78 day ahead cum case"
2021-03-15,2021-06-02,"GM","Germany",3515224.35567726,"point",NA,"79 day ahead cum case"
2021-03-15,2021-06-03,"GM","Germany",3524498.63125903,"point",NA,"80 day ahead cum case"
2021-03-15,2021-06-04,"GM","Germany",3533707.03987668,"point",NA,"81 day ahead cum case"
2021-03-15,2021-06-05,"GM","Germany",3542850.03577097,"point",NA,"82 day ahead cum case"
2021-03-15,2021-06-06,"GM","Germany",3551928.07344396,"point",NA,"83 day ahead cum case"
2021-03-15,2021-06-07,"GM","Germany",3560941.60751906,"point",NA,"84 day ahead cum case"
2021-03-15,2021-06-08,"GM","Germany",3569891.09261454,"point",NA,"85 day ahead cum case"
2021-03-15,2021-06-09,"GM","Germany",3578776.98322904,"point",NA,"86 day ahead cum case"
2021-03-15,2021-06-10,"GM","Germany",3587599.7336379,"point",NA,"87 day ahead cum case"
