"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-05-07,"GM","Germany",83719.3461024777,"point",NA,"53 day ahead cum death"
2021-03-15,2021-05-08,"GM","Germany",83894.2905290432,"point",NA,"54 day ahead cum death"
2021-03-15,2021-05-09,"GM","Germany",84075.8355858091,"point",NA,"55 day ahead cum death"
2021-03-15,2021-05-10,"GM","Germany",84258.6601206221,"point",NA,"56 day ahead cum death"
2021-03-15,2021-05-11,"GM","Germany",84430.3611312984,"point",NA,"57 day ahead cum death"
2021-03-15,2021-05-12,"GM","Germany",84600.4717954796,"point",NA,"58 day ahead cum death"
2021-03-15,2021-05-13,"GM","Germany",84769.3802232596,"point",NA,"59 day ahead cum death"
2021-03-15,2021-05-14,"GM","Germany",84940.8258656348,"point",NA,"60 day ahead cum death"
2021-03-15,2021-05-15,"GM","Germany",85108.4983303304,"point",NA,"61 day ahead cum death"
2021-03-15,2021-05-16,"GM","Germany",85274.9928934138,"point",NA,"62 day ahead cum death"
2021-03-15,2021-05-17,"GM","Germany",85440.2934501975,"point",NA,"63 day ahead cum death"
2021-03-15,2021-05-18,"GM","Germany",85604.3833965571,"point",NA,"64 day ahead cum death"
2021-03-15,2021-05-19,"GM","Germany",85767.2456534914,"point",NA,"65 day ahead cum death"
2021-03-15,2021-05-20,"GM","Germany",85928.8626904842,"point",NA,"66 day ahead cum death"
2021-03-15,2021-05-21,"GM","Germany",86089.2165477294,"point",NA,"67 day ahead cum death"
2021-03-15,2021-05-22,"GM","Germany",86248.2888572689,"point",NA,"68 day ahead cum death"
2021-03-15,2021-05-23,"GM","Germany",86406.4291493805,"point",NA,"69 day ahead cum death"
2021-03-15,2021-05-24,"GM","Germany",86572.5375507953,"point",NA,"70 day ahead cum death"
2021-03-15,2021-05-25,"GM","Germany",86737.620944371,"point",NA,"71 day ahead cum death"
2021-03-15,2021-05-26,"GM","Germany",86901.6700410526,"point",NA,"72 day ahead cum death"
2021-03-15,2021-05-27,"GM","Germany",87057.1051023837,"point",NA,"73 day ahead cum death"
2021-03-15,2021-05-28,"GM","Germany",87207.5533710867,"point",NA,"74 day ahead cum death"
2021-03-15,2021-05-29,"GM","Germany",87356.68123448,"point",NA,"75 day ahead cum death"
2021-03-15,2021-05-30,"GM","Germany",87504.4948577486,"point",NA,"76 day ahead cum death"
2021-03-15,2021-05-31,"GM","Germany",87650.9998986214,"point",NA,"77 day ahead cum death"
2021-03-15,2021-06-01,"GM","Germany",87796.201521473,"point",NA,"78 day ahead cum death"
2021-03-15,2021-06-02,"GM","Germany",87940.1044107432,"point",NA,"79 day ahead cum death"
